,id,retweet_count,favorite_count
0,892420643555336193,8665,39035
1,892177421306343426,6366,33431
2,891815181378084864,4226,25198
3,891689557279858688,8770,42398
4,891327558926688256,9548,40549
5,891087950875897856,3168,20344
6,890971913173991426,2109,11930
7,890729181411237888,19206,65977
8,890609185150312448,4327,27929
9,890240255349198849,7543,32145
10,890006608113172480,7452,30827
11,889880896479866881,5043,27958
12,889665388333682689,10231,48353
13,889638837579907072,4616,27359
14,889531135344209921,2264,15183
15,889278841981685760,5529,25443
16,888917238123831296,4574,29268
17,888804989199671297,4424,25749
18,888554962724278272,3652,20050
19,null,null,null
20,888078434458587136,3566,21908
21,887705289381826560,5483,30385
22,887517139158093824,11846,46493
23,887473957103951883,18519,69574
24,887343217045368832,10565,33881
25,887101392804085760,6058,30742
26,886983233522544640,7890,35411
27,886736880519319552,3353,12158
28,886680336477933568,4543,22577
29,886366144734445568,3237,21260
30,886267009285017600,4,117
31,886258384151887873,6393,28149
32,886054160059072513,105,0
33,885984800019947520,6919,32935
34,885528943205470208,6544,36223
35,885518971528720385,3822,20552
36,885311592912609280,18866,0
37,885167619883638784,4453,22084
38,884925521741709313,18809,78010
39,884876753390489601,5941,28132
40,884562892145688576,5000,24461
41,884441805382717440,5741,27171
42,884247878851493888,20747,73460
43,884162670584377345,3040,20505
44,883838122936631299,3503,22048
45,883482846933004288,10148,46265
46,883360690899218434,3746,22688
47,883117836046086144,6780,37466
48,882992080364220416,3996,24086
49,882762694511734784,5002,28514
50,882627270321602560,6185,28054
51,882268110199369728,11800,45257
52,882045870035918850,5067,29553
53,881906580714921986,3447,24449
54,881666595344535552,10863,50888
55,881633300179243008,7,129
56,881536004380872706,16258,49748
57,881268444196462592,5238,23211
58,880935762899988482,2827,17124
59,880872448815771648,3891,21442
60,880465832366813184,6395,28709
61,880221127280381952,4309,27263
62,880095782870896641,4430,27804
63,879862464715927552,3562,22441
64,879674319642796034,10,314
65,879492040517615616,3244,23551
66,879415818425184262,44958,106633
67,879376492567855104,3172,16878
68,879130579576475649,6985,0
69,879050749262655488,4808,22745
70,879008229531029506,2741,19078
71,878776093423087618,4208,19514
72,878604707211726852,7389,30487
73,878404777348136964,1318,0
74,878316110768087041,6797,0
75,878281511006478336,1318,7818
76,878057613040115712,6985,42334
77,877736472329191424,19565,80513
78,877611172832227328,81,0
79,877556246731214848,3908,22954
80,877316821321428993,5292,27540
81,877201837425926144,5713,27334
82,876838120628539392,3435,20833
83,876537666061221889,4699,23592
84,876484053909872640,2459,18910
85,876120275196170240,4793,28101
86,875747767867523072,4388,25395
87,875144289856114688,5026,22080
88,875097192612077568,6180,27616
89,875021211251597312,4809,25681
90,874680097055178752,4750,28072
91,874434818259525634,15138,0
92,874296783580663808,4215,26277
93,874057562936811520,4047,22829
94,874012996292530176,10732,35010
95,null,null,null
96,873580283840344065,4041,24484
97,873337748698140672,1627,0
98,873213775632977920,1627,7348
99,872967104147763200,5545,27652
100,872820683541237760,3791,14850
101,872668790621863937,30,0
102,872620804844003328,3805,21012
103,872486979161796608,9229,41057
104,872261713294495745,6510,34611
105,872122724285648897,8351,34847
106,871879754684805121,11580,38543
107,871762521631449091,3581,20508
108,871515927908634625,3552,20463
109,871166179821445120,5859,0
110,871102520638267392,5645,21175
111,871032628920680449,3910,22955
112,870804317367881728,6423,34103
113,870726314365509632,3,120
114,870656317836468226,2742,12623
115,870374049280663552,27084,83867
116,870308999962521604,4288,22152
117,870063196459192321,8628,37239
118,null,null,null
119,869772420881756160,10409,43089
120,869702957897576449,6548,28709
