,id,retweet_count,favorite_count
0,892420643555336193,8665,39037
1,892177421306343426,6365,33433
2,891815181378084864,4226,25200
3,891689557279858688,8771,42400
4,891327558926688256,9546,40548
5,891087950875897856,3168,20344
6,890971913173991426,2109,11926
7,890729181411237888,19205,65967
8,890609185150312448,4327,27930
9,890240255349198849,7544,32138
10,890006608113172480,7452,30823
11,889880896479866881,5044,27957
12,889665388333682689,10231,48342
13,889638837579907072,4616,27355
14,889531135344209921,2264,15182
15,889278841981685760,5528,25441
16,888917238123831296,4574,29270
17,888804989199671297,4424,25749
18,888554962724278272,3653,20051
19,888078434458587136,3566,21904
20,887705289381826560,5483,30384
21,887517139158093824,11846,46494
22,887473957103951883,18519,69567
23,887343217045368832,10565,33877
24,887101392804085760,6057,30741
25,886983233522544640,7890,35414
26,886736880519319552,3353,12158
27,886680336477933568,4542,22574
28,886366144734445568,3236,21261
29,886267009285017600,4,117
30,886258384151887873,6394,28147
31,886054160059072513,105,0
32,885984800019947520,6919,32928
33,885528943205470208,6544,36216
34,885518971528720385,3821,20549
35,885311592912609280,18865,0
36,885167619883638784,4452,22080
37,884925521741709313,18807,78007
38,884876753390489601,5942,28129
39,884441805382717440,5742,27173
40,884247878851493888,20745,73446
41,884162670584377345,3040,20503
42,883838122936631299,3503,22046
43,883482846933004288,10147,46269
44,883360690899218434,3744,22689
45,883117836046086144,6780,37458
46,882992080364220416,3997,24087
47,882762694511734784,5003,28512
48,882627270321602560,6187,28053
49,882268110199369728,11800,45257
50,882045870035918850,5067,29551
51,881906580714921986,3447,24450
52,881666595344535552,10863,50883
53,881633300179243008,7,129
54,881536004380872706,16257,49747
55,881268444196462592,5238,23207
56,880935762899988482,2826,17124
57,880872448815771648,3891,21443
58,880465832366813184,6395,28702
59,880221127280381952,4308,27258
60,880095782870896641,4430,27801
61,879862464715927552,3562,22441
62,879674319642796034,10,314
63,879492040517615616,3242,23548
64,879415818425184262,44947,106626
65,879376492567855104,3172,16877
66,879130579576475649,6983,0
67,879050749262655488,4808,22740
68,879008229531029506,2741,19079
69,878776093423087618,4209,19515
70,878604707211726852,7388,30484
71,878404777348136964,1318,0
72,878316110768087041,6797,0
73,878281511006478336,1318,7817
74,878057613040115712,6983,42335
75,877736472329191424,19564,80510
76,877611172832227328,81,0
77,877556246731214848,3908,22953
78,877316821321428993,5290,27540
79,877201837425926144,5712,27332
80,876838120628539392,3435,20830
81,876537666061221889,4698,23591
82,876484053909872640,2459,18910
83,876120275196170240,4792,28101
84,875747767867523072,4387,25394
85,875144289856114688,5026,22079
86,875097192612077568,6180,27616
87,875021211251597312,4810,25676
88,874680097055178752,4750,28068
89,874434818259525634,15139,0
90,874296783580663808,4216,26276
91,874057562936811520,4047,22828
92,874012996292530176,10732,35004
93,873580283840344065,4041,24484
94,873337748698140672,1627,0
95,873213775632977920,1627,7348
96,872967104147763200,5545,27648
97,872820683541237760,3791,14851
98,872668790621863937,30,0
99,872620804844003328,3805,21007
100,872486979161796608,9227,41052
101,872261713294495745,6509,34611
102,872122724285648897,8351,34842
103,871879754684805121,11579,38534
104,871762521631449091,3580,20508
105,871515927908634625,3552,20460
106,871166179821445120,5860,0
107,871102520638267392,5644,21175
108,871032628920680449,3910,22954
109,870804317367881728,6422,34099
110,870726314365509632,3,120
111,870656317836468226,2742,12617
112,870374049280663552,27082,83858
113,870308999962521604,4287,22151
114,870063196459192321,8628,37236
115,869772420881756160,10406,43086
116,869702957897576449,6546,28710
117,869596645499047938,3246,16249
